band,name,valid_pixels,nodata_pixels,min,max,mean,std,median
1,NDVI_AUC,19445395,16248383,4.5356374,147.72937,95.75243,9.936202,96.77915
2,NDVI_drop,19445354,16248424,0.0,0.814115,0.024071522,0.07193943,0.0070009828
3,NDVI_peak,19445395,16248383,0.14743163,1.0,0.8673057,0.048482776,0.8811029
4,NDVI_slopeEarly,15304581,20389197,-0.030175038,0.031425342,0.01374788,0.0072176773,0.014613112
5,NDWI_AUC,19445395,16248383,-24.956768,79.5826,38.321384,9.337297,39.213177
6,NDWI_drop,19445354,16248424,0.0,0.8083035,0.016380759,0.06232079,0.0
7,NDWI_peak,19445395,16248383,-0.053200766,0.7634783,0.49844623,0.059199564,0.5132444
8,GNDVI_AUC,19445395,16248383,6.4032536,124.940346,90.54215,7.3358927,91.55807
9,GNDVI_drop,19445354,16248424,0.0,0.61823046,0.017674014,0.04780808,0.0049906373
10,SAVI_AUC,19445395,16248383,6.8025374,221.57185,143.6095,14.902909,145.1489
11,MSAVI2_AUC,19445395,16248383,7.3933406,157.93861,112.471275,9.272877,113.425064
12,h_NDVI_drop,19445354,16248424,0.0,0.814115,0.024071522,0.07193943,0.0070009828
13,h_NDWI_drop,19445354,16248424,0.0,0.8083035,0.016380759,0.06232079,0.0
14,h_AUC_z,19445395,16248383,-63.15487,73.95146,0.9406743,2.2031257,0.8002897
15,h_NDVI_AUC_cur,19445395,16248383,4.5356374,147.72937,95.75243,9.936202,96.77915
