system:index,class_name,label,lat,lon,run_tag,sample_id,season,tile_id,unique_id,weight,.geo,NDVI_AUC,NDVI_drop,NDVI_peak,NDVI_slopeEarly,NDWI_AUC,NDWI_drop,NDWI_peak,GNDVI_AUC,GNDVI_drop,SAVI_AUC,MSAVI2_AUC,h_NDVI_drop,h_NDWI_drop,h_AUC_z,h_NDVI_AUC_cur
0_1_1,healthy,0,30.6815093714602,75.54624926929829,rabi_2023_24,0_1_1,2023-11-01_to_2024-04-15,0,sample_0_1_1,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",94.113556,0.0,0.88282263,0.02029866,38.737064,0.0015208721,0.5205053,92.505905,0.0,141.15132,110.41626,0.0,0.0015208721,0.5522805,94.113556
0_1_6,healthy,0,30.664441381061927,75.56978512974221,rabi_2023_24,0_1_6,2023-11-01_to_2024-04-15,0,sample_0_1_6,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",97.607445,0.0,0.85602057,0.017827334,41.935833,0.0,0.5258116,95.021706,0.0,146.39128,115.33485,0.0,0.0,1.1733522,97.607445
0_1_10,healthy,0,30.70917748221108,75.54103904065039,rabi_2023_24,0_1_10,2023-11-01_to_2024-04-15,0,sample_0_1_10,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",98.02668,0.005704403,0.8183739,0.009537101,38.01286,0.0,0.44881362,85.166046,0.0,147.01854,116.14028,0.005704403,0.0,0.60915387,98.02668
0_1_16,healthy,0,30.682228023687493,75.43306154349922,rabi_2023_24,0_1_16,2023-11-01_to_2024-04-15,0,sample_0_1_16,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",100.92984,0.011868119,0.90396726,0.019224625,45.256126,0.0070182085,0.56373394,95.34669,0.0027238727,151.37685,116.86067,0.011868119,0.0070182085,1.25592,100.92984
0_1_19,healthy,0,30.61269842069664,75.4253360320558,rabi_2023_24,0_1_19,2023-11-01_to_2024-04-15,0,sample_0_1_19,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",97.66985,0.0,0.91450775,0.015363926,41.371098,0.0042213798,0.5762857,91.37174,0.0,146.48462,113.100365,0.0,0.0042213798,2.4523623,97.66985
0_1_33,healthy,0,30.6274307913562,75.5764326628447,rabi_2023_24,0_1_33,2023-11-01_to_2024-04-15,0,sample_0_1_33,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",96.09051,0.0,0.8778595,0.018113248,41.60465,0.0,0.53182274,91.69426,0.0,144.1172,112.346146,0.0,0.0,3.3385162,96.09051
0_1_34,healthy,0,30.64917002123189,75.526127006934,rabi_2023_24,0_1_34,2023-11-01_to_2024-04-15,0,sample_0_1_34,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",98.056335,0.01134479,0.81799114,0.015012244,37.871323,0.020314306,0.47035947,91.611,0.0050700903,147.06361,116.8834,0.01134479,0.020314306,7.5824223,98.056335
0_1_37,healthy,0,30.690312861244568,75.42282074926025,rabi_2023_24,0_1_37,2023-11-01_to_2024-04-15,0,sample_0_1_37,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",102.35032,0.003553629,0.89014834,0.0119292205,51.796196,0.0,0.55314445,94.74488,0.01177907,153.50575,117.73568,0.003553629,0.0,2.3014588,102.35032
0_1_40,healthy,0,30.62832910664032,75.58218188066306,rabi_2023_24,0_1_40,2023-11-01_to_2024-04-15,0,sample_0_1_40,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",99.68639,0.0,0.8741059,0.021151964,43.318478,0.0,0.53652817,98.27015,0.0,149.5112,115.91409,0.0,0.0,2.2620769,99.68639
0_1_42,healthy,0,30.682228023687493,75.39730859519126,rabi_2023_24,0_1_42,2023-11-01_to_2024-04-15,0,sample_0_1_42,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",91.99301,0.0,0.8802015,0.017032595,26.314404,0.0,0.5052476,88.24632,0.0,137.96808,109.152336,0.0,0.0,-0.6152953,91.99301
0_1_46,healthy,0,30.678994088664663,75.48067225355756,rabi_2023_24,0_1_46,2023-11-01_to_2024-04-15,0,sample_0_1_46,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",107.56147,0.012508035,0.88907,0.0117464345,55.193207,0.008620977,0.57795805,98.20376,0.009988666,161.3235,123.397995,0.012508035,0.008620977,1.0539129,107.56147
